,Region,Views
0,US,2360784.6382573447
1,GB,5911943.62663172
2,CA,1147035.9107898534
3,DE,603455.3184378061
4,FR,419921.8506040664
5,IN,1060477.645882416
6,JP,262021.47005798374
7,KR,424947.27089420543
8,MX,342381.9681590072
9,RU,240715.15071553056
